Method,compute_time,batch_size,throughput,load_time,avg_cache_usage,cache_hit_rate
PyTorch,0.5,512,400.74567516172976,127.76182794570923,0,0.0
PyTorch,0.5,1024,356.58087768818046,287.1718771457672,0,0.0
DLCache,0.5,512,617.0446494034792,82.97616720199585,2784,0.52650390625
DLCache,0.5,1024,460.46601962561,222.38340210914612,4604,0.436083984375
PyTorch,0.5,512,558.3022540545584,91.70659732818604,0,0.0
PyTorch,0.5,1024,452.9390718309669,226.0789725780487,0,0.0
PyTorch,0.5,512,455.2937557538915,112.45486974716187,0,0.0
PyTorch,0.5,2048,410.941402262025,498.36789107322693,0,0.0
PyTorch,0.5,2048,316.5216957151893,647.0330557823181,0,0.0
DLCache,0.5,512,521.647362721172,98.15059685707092,2292,0.4422265625
DLCache,0.5,2048,322.09097926442917,635.8451902866364,6147,0.2310888671875
PyTorch,0.5,2048,361.54961785574847,566.4506056308746,0,0.0
DLCache,0.5,1024,410.6568899942448,249.3565857410431,4598,0.38423828125
DLCache,0.5,512,455.18446494610885,112.48187041282654,2189,0.4134765625
DLCache,0.5,2048,379.7748855685456,539.2668335437775,10919,0.271396484375
DLCache,0.5,1024,343.23237389844246,298.3401560783386,4969,0.420693359375
PyTorch,0.5,1024,329.959362609934,310.341246843338,0,0.0
DLCache,0.5,2048,392.80423116904217,521.3793125152588,7104,0.2657666015625
DLCache,1.0,512,2107.085653659496,24.298964738845825,3705,0.74708984375
DLCache,1.0,2048,416.5918133581835,491.6083164215088,7570,0.23205078125
DLCache,1.0,512,1701.2731617231175,30.09510827064514,3502,0.69197265625
PyTorch,1.0,1024,507.7946908314179,201.65630292892456,0,0.0
DLCache,1.0,2048,334.3043244069406,612.6154675483704,6615,0.232021484375
DLCache,1.0,1024,578.7408233155802,176.93585085868835,5528,0.52953125
PyTorch,1.0,2048,444.93586438427286,460.29105854034424,0,0.0
PyTorch,1.0,2048,401.8331786034596,509.6642360687256,0,0.0
DLCache,1.0,512,1020.1223567110263,50.1900577545166,2847,0.55853515625
DLCache,1.0,1024,454.7379027467988,225.18465995788574,4180,0.342099609375
PyTorch,1.0,512,1019.6536196746986,50.213130235672,0,0.0
PyTorch,1.0,512,637.3800378193179,80.3288414478302,0,0.0
DLCache,1.0,1024,587.6214874092053,174.2618372440338,5605,0.532294921875
PyTorch,1.0,512,1007.5888075479228,50.81437945365906,0,0.0
DLCache,1.0,2048,464.6632088709766,440.74933433532715,8487,0.34015625
PyTorch,1.0,1024,519.0551905894353,197.28152585029602,0,0.0
PyTorch,1.0,1024,400.382972631999,255.75513195991516,0,0.0
PyTorch,1.0,2048,344.2640428743949,594.892217874527,0,0.0
DLCache,1.5,512,4908.02608589447,10.431892395019531,4551,0.92541015625
PyTorch,1.5,2048,478.20552334969926,428.2677426338196,0,0.0
DLCache,1.5,512,5290.888222846468,9.677014112472534,4279,0.903828125
PyTorch,1.5,1024,473.568442335408,216.23062443733215,0,0.0
PyTorch,1.5,2048,361.64575696794185,566.300021648407,0,0.0
DLCache,1.5,1024,804.0003091952276,127.36313509941101,5660,0.55220703125
PyTorch,1.5,512,1419.1386596060274,36.07822227478027,0,0.0
DLCache,1.5,2048,483.05753268413383,423.9660623073578,8788,0.3531396484375
DLCache,1.5,1024,634.306978181316,161.4360294342041,5868,0.470703125
DLCache,1.5,2048,380.3275397122832,538.4832246303558,8618,0.1018896484375
DLCache,1.5,512,3474.8958955333646,14.734254360198975,3300,0.66439453125
PyTorch,1.5,512,5739.442220321265,8.920727491378784,0,0.0
PyTorch,1.5,1024,740.2808789065533,138.32587456703186,0,0.0
PyTorch,1.5,1024,657.2785581604944,155.79391527175903,0,0.0
PyTorch,1.5,2048,442.40193081082197,462.9274551868439,0,0.0
PyTorch,1.5,512,5676.1096211411805,9.020262718200684,0,0.0
PyTorch,2.0,1024,866.0567740209042,118.23705220222473,0,0.0
DLCache,2.0,512,3810.6502621197255,13.43602705001831,4121,0.84056640625
DLCache,2.0,2048,564.174989977181,363.00793838500977,10915,0.2846728515625
PyTorch,2.0,512,4333.599165763196,11.814659833908081,0,0.0
DLCache,2.0,2048,638.6781740913257,320.6622807979584,10840,0.4144287109375
PyTorch,2.0,2048,465.3918387673011,440.059285402298,0,0.0
DLCache,2.0,1024,1965.390772699655,52.101598024368286,7054,0.71080078125
PyTorch,2.0,512,5372.002694852214,9.530896186828613,0,0.0
DLCache,2.0,1024,3230.7106851127332,31.695812463760376,8020,0.815830078125
DLCache,2.0,1024,1081.8661492363324,94.65126538276672,5832,0.550087890625
DLCache,2.0,512,5234.73446689497,9.780820846557617,4543,0.95763671875
PyTorch,2.0,512,5236.434685276053,9.777645111083984,0,0.0
PyTorch,2.0,1024,584.9710509378597,175.05139756202698,0,0.0
DLCache,2.0,512,5645.964362769657,9.068424224853516,4609,0.97521484375
DLCache,2.0,2048,464.0683686761022,441.314284324646,9450,0.3434521484375
PyTorch,2.0,2048,405.61032249772205,504.91811633110046,0,0.0
PyTorch,2.0,1024,1085.6351634866776,94.32266330718994,0,0.0
PyTorch,2.0,2048,562.9129089863251,363.8218216896057,0,0.0
DLCache,2.5,512,5580.80844245662,9.17429804801941,4609,0.9763671875
DLCache,2.5,1024,4821.806289333595,21.236854791641235,9062,0.95447265625
DLCache,2.5,1024,2470.035663388338,41.45689129829407,6084,0.461962890625
DLCache,2.5,2048,527.7782976785177,388.0417230129242,9426,0.376650390625
DLCache,2.5,512,4859.429709731778,10.536215782165527,3722,0.7796875
PyTorch,2.5,2048,647.7040996890946,316.19376826286316,0,0.0
DLCache,2.5,2048,615.1083146678643,332.9494905471802,10879,0.3394091796875
PyTorch,2.5,2048,539.5688015337865,379.5623457431793,0,0.0
PyTorch,2.5,512,5473.523258942467,9.354121208190918,0,0.0
PyTorch,2.5,512,5695.619601535927,8.989364385604858,0,0.0
PyTorch,2.5,1024,2964.5722470342816,34.541239500045776,0,0.0
PyTorch,2.5,2048,456.40197712461656,448.7272410392761,0,0.0
DLCache,2.5,2048,830.6126300205126,246.5649962425232,12490,0.345625
DLCache,2.5,512,5049.513111539785,10.139591455459595,4530,0.9616015625
PyTorch,2.5,1024,921.5447978867793,111.11776685714722,0,0.0
DLCache,2.5,1024,3174.943049256412,32.25254702568054,6791,0.69724609375
PyTorch,2.5,512,4680.375329947178,10.939293622970581,0,0.0
PyTorch,2.5,1024,1389.3680201335226,73.70257449150085,0,0.0
PyTorch,3.0,1024,1478.0168733274043,69.28202366828918,0,0.0
PyTorch,3.0,512,5323.175475459243,9.618319034576416,0,0.0
PyTorch,3.0,2048,480.27926061991343,426.4185793399811,0,0.0
PyTorch,3.0,512,5256.405362382037,9.74049687385559,0,0.0
DLCache,3.0,512,5662.353238135289,9.042176961898804,4609,0.9777734375
DLCache,3.0,1024,5423.479620403541,18.88086748123169,9124,0.95720703125
PyTorch,3.0,2048,648.847923593939,315.6363649368286,0,0.0
DLCache,3.0,2048,805.5862389809956,254.22479939460754,11858,0.566865234375
DLCache,3.0,2048,602.0088585864586,340.19432950019836,11201,0.3105615234375
PyTorch,3.0,512,5623.080408436439,9.105329513549805,0,0.0
PyTorch,3.0,1024,5715.94658765904,17.914793014526367,0,0.0
DLCache,3.0,1024,3750.3034830682723,27.30445694923401,7408,0.76650390625
PyTorch,3.0,2048,793.5315772170908,258.086767911911,0,0.0
DLCache,3.0,512,5250.373318443593,9.75168752670288,4609,0.97775390625
DLCache,3.0,1024,4821.663708028627,21.23748278617859,8111,0.852783203125
DLCache,3.0,512,4799.252066347958,10.668329000473022,4546,0.96689453125
PyTorch,3.0,1024,4669.254046686851,21.930697917938232,0,0.0
DLCache,3.0,2048,976.0068546335502,209.83459186553955,13108,0.358251953125
