Method,compute_time,batch_size,throughput,load_time,avg_cache_usage,cache_hit_rate
PyTorch,0.5,128,118.78223282066617,107.76022386550903,0.0,0.0
PyTorch,0.5,128,121.96408011166562,104.9489324092865,0.0,0.0
PyTorch,0.5,256,81.75542784319305,313.1290566921234,0.0,0.0
DLCache,0.5,512,94.80141237619,540.0763418674469,2315.0,0.381865234375
PyTorch,0.5,256,101.28786126162589,252.7449951171875,0.0,0.0
DLCache,0.5,128,139.0876710405041,92.02828621864319,883.0,0.6771484375
PyTorch,0.5,512,90.7330592065136,564.292667388916,0.0,0.0
PyTorch,0.5,128,96.19187638542665,133.06736993789673,0.0,0.0
DLCache,0.5,128,123.9563061031812,103.26219296455383,802.0,0.618046875
DLCache,0.5,256,93.8309224354159,272.831166267395,1079.0,0.34560546875
PyTorch,0.5,512,88.61972559371239,577.7494757175446,0.0,0.0
PyTorch,0.5,512,75.57269984035617,677.4933290481567,0.0,0.0
DLCache,0.5,256,106.3176556934759,240.78785252571106,1314.0,0.48953125
DLCache,0.5,512,83.72357270889464,611.5362536907196,2325.5,0.267734375
DLCache,0.5,512,86.6533511120759,590.860011100769,1751.5,0.26537109375
DLCache,0.5,128,121.60164820044045,105.26173114776611,684.5,0.5154296875
PyTorch,0.5,256,96.40251663920331,265.55323338508606,0.0,0.0
DLCache,0.5,256,93.68359464300013,273.2602233886719,994.5,0.3230859375
DLCache,1.0,512,94.45562798554273,542.0534603595734,2536.0,0.287236328125
PyTorch,1.0,128,222.01951364058786,57.65259003639221,0.0,0.0
DLCache,1.0,256,124.79246016147466,205.1405987739563,1345.0,0.5203125
DLCache,1.0,128,319.86157685644827,40.01731038093567,1029.0,0.8101953125
DLCache,1.0,256,120.20615911248056,212.96745681762695,1547.5,0.472734375
PyTorch,1.0,512,98.96639789988745,517.3473126888275,0.0,0.0
DLCache,1.0,512,86.42397762903677,592.4281826019287,2347.0,0.284541015625
DLCache,1.0,128,251.614386364489,50.87149500846863,1081.5,0.8311328125
PyTorch,1.0,512,82.9529432807363,617.2174003124237,0.0,0.0
PyTorch,1.0,256,122.40780255333733,209.13699507713318,0.0,0.0
DLCache,1.0,256,147.25726836656796,173.8454086780548,1907.0,0.5597265625
DLCache,1.0,128,364.8976170881005,35.0783326625824,1152.5,0.8872265625
PyTorch,1.0,512,93.40811730706174,548.1322338581085,0.0,0.0
PyTorch,1.0,128,204.04511930201826,62.731223583221436,0.0,0.0
PyTorch,1.0,256,117.8171009615283,217.28594398498535,0.0,0.0
PyTorch,1.0,256,97.97917237201032,261.2800188064575,0.0,0.0
DLCache,1.0,512,107.00948193997237,478.4622733592987,2979.5,0.56197265625
PyTorch,1.0,128,154.02575950576335,83.10298252105713,0.0,0.0
PyTorch,1.5,512,102.87381776616203,497.6970925331116,0.0,0.0
PyTorch,1.5,256,143.44245355608922,178.46878218650818,0.0,0.0
DLCache,1.5,128,1024.2991107823577,12.496349811553955,1123.5,0.92828125
DLCache,1.5,512,103.66293904047815,493.90843510627747,3073.0,0.336884765625
DLCache,1.5,128,1043.914615407844,12.261539220809937,1114.5,0.9345703125
PyTorch,1.5,512,110.47580402069109,463.44989705085754,0.0,0.0
DLCache,1.5,256,213.30076714863074,120.01832127571106,2353.0,0.6870703125
DLCache,1.5,512,122.6568426060009,417.4247348308563,3251.0,0.491015625
PyTorch,1.5,128,392.7863142117049,32.58769345283508,0.0,0.0
DLCache,1.5,256,175.36981385986178,145.97723197937012,2175.0,0.63548828125
DLCache,1.5,256,190.46841840171487,134.40548419952393,1892.5,0.5592578125
DLCache,1.5,128,1542.4811433745954,8.29831862449646,1152.5,0.959453125
PyTorch,1.5,128,532.1517055310775,24.05329132080078,0.0,0.0
PyTorch,1.5,128,1308.3860194998342,9.783045530319214,0.0,0.0
PyTorch,1.5,256,119.42954241288227,214.35232424736023,0.0,0.0
PyTorch,1.5,256,164.42792592878615,155.6913149356842,0.0,0.0
DLCache,1.5,512,105.53898073651145,485.12880873680115,2829.5,0.31056640625
PyTorch,1.5,512,86.7864040933521,589.9541585445404,0.0,0.0
PyTorch,2.0,128,1615.3526815269313,7.9239661693573,0.0,0.0
DLCache,2.0,256,265.57018540941914,96.39636301994324,2366.5,0.9313671875
PyTorch,2.0,256,161.65462390643805,158.36231207847595,0.0,0.0
DLCache,2.0,512,117.25402732007097,436.6587755680084,3277.5,0.369775390625
DLCache,2.0,512,142.65142200723247,358.91685676574707,3668.0,0.551513671875
DLCache,2.0,128,1631.7958778706186,7.844118356704712,1005.0,0.853671875
DLCache,2.0,256,331.8201469500853,77.15022802352905,2045.5,0.8098828125
DLCache,2.0,512,122.16807609688098,419.09475564956665,2860.0,0.3380859375
DLCache,2.0,128,1520.1553162476628,8.420192241668701,1147.0,0.968671875
PyTorch,2.0,256,233.31236776235053,109.72414469718933,0.0,0.0
PyTorch,2.0,256,165.9450795233963,154.26790642738342,0.0,0.0
DLCache,2.0,128,1467.6704410631005,8.721303939819336,1152.5,0.9726171875
PyTorch,2.0,512,106.35358668739748,481.4130072593689,0.0,0.0
PyTorch,2.0,512,99.37191773005188,515.23610663414,0.0,0.0
PyTorch,2.0,128,1574.4276803664154,8.12993836402893,0.0,0.0
PyTorch,2.0,512,120.55532157166002,424.7012851238251,0.0,0.0
DLCache,2.0,256,389.5166417722373,65.72248077392578,2364.0,0.694375
PyTorch,2.0,128,1435.1985625529858,8.918626546859741,0.0,0.0
DLCache,2.5,256,478.81050142278144,53.46582818031311,2313.5,0.9058984375
DLCache,2.5,512,130.98240648302647,390.89219212532043,2771.5,0.436142578125
PyTorch,2.5,512,109.89607635125168,465.8947043418884,0.0,0.0
DLCache,2.5,256,1081.073524100894,23.6801655292511,2313.0,0.9547265625
PyTorch,2.5,128,1594.4513768443062,8.027839660644531,0.0,0.0
DLCache,2.5,256,909.764666850454,28.139145135879517,2217.0,0.689296875
PyTorch,2.5,128,1401.8386570968826,9.130865335464478,0.0,0.0
DLCache,2.5,128,1630.6578586324974,7.849592685699463,1008.5,0.8555078125
DLCache,2.5,128,1519.244247520907,8.425241708755493,1150.0,0.9740234375
PyTorch,2.5,256,432.22613216142315,59.22825598716736,0.0,0.0
PyTorch,2.5,512,140.3121964065656,364.90056681632996,0.0,0.0
DLCache,2.5,512,175.17541132705006,292.2784631252289,4447.5,0.644599609375
DLCache,2.5,512,136.63419415844945,374.7231819629669,3711.5,0.553759765625
PyTorch,2.5,512,118.31738952542571,432.734361410141,0.0,0.0
DLCache,2.5,128,1405.0789774899072,9.109808206558228,1006.5,0.85484375
PyTorch,2.5,256,299.56684968083033,85.4567186832428,0.0,0.0
PyTorch,2.5,128,1472.9959666971288,8.689772605895996,0.0,0.0
PyTorch,2.5,256,230.4108669798098,111.10587072372437,0.0,0.0
DLCache,3.0,256,1558.779513745934,16.423105239868164,2304.5,0.968046875
DLCache,3.0,128,1601.2681991574946,7.993664026260376,1006.5,0.85625
PyTorch,3.0,512,130.12182673809644,393.4774148464203,0.0,0.0
DLCache,3.0,256,1171.8333961189805,21.84610891342163,2182.0,0.9225390625
DLCache,3.0,128,1477.7599446672918,8.661758661270142,1148.5,0.9726953125
DLCache,3.0,512,177.54700935146764,288.37433075904846,3667.0,0.559130859375
DLCache,3.0,256,1467.0949901607219,17.44944953918457,2274.0,0.934765625
DLCache,3.0,128,1574.0565476662548,8.131855249404907,1008.0,0.8565234375
PyTorch,3.0,256,1397.6999495782818,18.315805196762085,0.0,0.0
PyTorch,3.0,128,1582.285832242561,8.08956241607666,0.0,0.0
PyTorch,3.0,512,148.38859233574306,345.04000067710876,0.0,0.0
PyTorch,3.0,256,409.2779206463474,62.5491840839386,0.0,0.0
PyTorch,3.0,128,1502.1948286330658,8.520865440368652,0.0,0.0
PyTorch,3.0,512,146.6457497088114,349.14070200920105,0.0,0.0
PyTorch,3.0,256,890.3480929751221,28.75279927253723,0.0,0.0
PyTorch,3.0,128,1476.603821929478,8.668540477752686,0.0,0.0
DLCache,3.0,512,165.65787296760175,309.07073163986206,3455.5,0.51892578125
DLCache,3.0,512,205.9015685612721,248.66250586509705,4980.0,0.453447265625
