Method,compute_time,batch_size,throughput,load_time,avg_cache_usage,cache_hit_rate,memory,opt_num_worker
PyTorch,0.5,128,276.63683921293614,46.27004861831665,0.0,0.0,10.59,0
PyTorch,0.5,128,228.09544939878637,56.11685824394226,0.0,0.0,12.120000000000001,0
PyTorch,0.5,256,180.89425802447016,141.519140958786,0.0,0.0,14.510000000000002,0
DLCache,0.5,512,164.6089629236425,311.0401711463928,2277.5,0.24455078125,29.283749999999998,8
PyTorch,0.5,256,165.07783413422072,155.0783612728119,0.0,0.0,16.39125,0
DLCache,0.5,128,316.44875581539986,40.44888710975647,935.5,0.4244140625,14.425,8
PyTorch,0.5,512,141.4729743449993,361.90657782554626,0.0,0.0,23.135,0
PyTorch,0.5,128,245.89440896962947,52.054863929748535,0.0,0.0,11.008750000000001,0
DLCache,0.5,128,278.1088536831696,46.02514386177063,831.5,0.3814453125,14.22375,8
DLCache,0.5,256,194.38814469319084,131.69527411460876,1162.5,0.26068359375,19.59625,8
PyTorch,0.5,512,154.5959591998727,331.1858878135681,0.0,0.0,22.07375,0
PyTorch,0.5,512,152.42190672105465,335.90971994400024,0.0,0.0,22.01625,0
DLCache,0.5,256,197.92751803522364,129.34027695655823,1329.5,0.29794921875,19.544999999999998,8
DLCache,0.5,512,151.37322663945466,338.2368278503418,1872.0,0.167236328125,29.970000000000006,8
DLCache,0.5,512,148.10171527533467,345.7083525657654,1914.0,0.206611328125,29.42875,8
DLCache,0.5,128,260.3073864906422,49.17263460159302,796.0,0.3650390625,14.547500000000003,8
PyTorch,0.5,256,184.85299814702117,138.48842191696167,0.0,0.0,14.872499999999999,0
DLCache,0.5,256,183.5745827749653,139.4528567790985,1113.5,0.22796875,19.745,8
DLCache,1.0,512,174.77833271087357,292.9424901008606,2331.0,0.244306640625,29.926250000000003,8
PyTorch,1.0,128,1208.6261455780707,10.590537071228027,0.0,0.0,13.96875,0
DLCache,1.0,256,271.9276198354702,94.14269876480103,1552.5,0.32146484375,20.55125,8
DLCache,1.0,128,1295.5839045348353,9.879715204238892,1423.0,0.703203125,17.54625,8
DLCache,1.0,256,316.17108683542557,80.96882057189941,1656.0,0.33435546875,20.526249999999997,8
PyTorch,1.0,512,163.70699356326492,312.7538957595825,0.0,0.0,23.6575,0
DLCache,1.0,512,184.66490898903177,277.2589566707611,2272.0,0.232587890625,30.2175,8
DLCache,1.0,128,1180.674913336427,10.841256856918335,1380.0,0.6809375,17.37625,8
PyTorch,1.0,512,173.5494273631824,295.01681900024414,0.0,0.0,22.18625,0
PyTorch,1.0,256,241.77485835268604,105.88363146781921,0.0,0.0,16.5275,0
DLCache,1.0,256,331.7019345455149,77.1777229309082,1903.5,0.3812109375,20.61375,8
DLCache,1.0,128,1379.4820261534055,9.278845071792603,1695.5,0.9263671875,17.107499999999998,7
PyTorch,1.0,512,180.68770699086096,283.3618338108063,0.0,0.0,22.083750000000002,0
PyTorch,1.0,128,1461.1529363512172,8.760205507278442,0.0,0.0,12.995,0
PyTorch,1.0,256,264.79713737453824,96.6777822971344,0.0,0.0,14.861250000000002,0
PyTorch,1.0,256,269.12467757114274,95.12319803237915,0.0,0.0,14.982499999999998,0
DLCache,1.0,512,197.81163562968493,258.83209466934204,2553.5,0.26048828125,30.285000000000004,8
PyTorch,1.0,128,1285.12532972767,9.960118055343628,0.0,0.0,13.201249999999998,0
PyTorch,1.5,512,217.3368184890923,235.57904434204102,0.0,0.0,22.2425,0
PyTorch,1.5,256,651.6187364337104,39.28677701950073,0.0,0.0,15.44875,0
DLCache,1.5,128,1427.0711375691635,8.969419717788696,1231.0,0.9009765625,14.1725,5
DLCache,1.5,512,227.7990570648992,224.75949048995972,2892.5,0.29611328125,30.903750000000002,8
DLCache,1.5,128,1401.8203920380017,9.13098430633545,1202.0,0.874296875,14.38,5
PyTorch,1.5,512,251.49652203836126,203.58134412765503,0.0,0.0,22.6025,0
DLCache,1.5,256,857.6605791858143,29.84863781929016,2886.0,0.63640625,21.358750000000004,7
DLCache,1.5,512,245.91485457568052,208.20214414596558,3125.5,0.351376953125,30.996249999999996,8
PyTorch,1.5,128,1370.133903201086,9.34215259552002,0.0,0.0,14.809999999999999,0
DLCache,1.5,256,798.780574335752,32.04885149002075,2032.0,0.4596484375,21.345,8
DLCache,1.5,256,693.160915373423,36.9322612285614,2052.0,0.47583984375,21.57375,8
DLCache,1.5,128,1392.3718320236055,9.192946672439575,1241.0,0.9081640625,14.482499999999998,5
PyTorch,1.5,128,1452.5224314459656,8.812256336212158,0.0,0.0,14.864999999999998,0
PyTorch,1.5,128,1267.628162816853,10.097598314285278,0.0,0.0,16.16875,0
PyTorch,1.5,256,622.4682661957186,41.12659454345703,0.0,0.0,15.607499999999998,0
PyTorch,1.5,256,407.79921452202996,62.775991439819336,0.0,0.0,16.557499999999997,0
DLCache,1.5,512,213.1162430365139,240.24447536468506,2584.5,0.267958984375,30.692499999999995,8
PyTorch,1.5,512,216.55292173556168,236.43181347846985,0.0,0.0,22.36875,0
PyTorch,2.0,128,1425.5953125564683,8.978705167770386,0.0,0.0,15.288749999999999,0
DLCache,2.0,256,1364.4618413506694,18.76197576522827,3045.5,0.82595703125,25.08625,7
PyTorch,2.0,256,1469.1169146577706,17.425434112548828,0.0,0.0,20.572499999999998,0
DLCache,2.0,512,298.13468734871503,171.7344615459442,3452.0,0.389892578125,31.782500000000006,8
DLCache,2.0,512,337.78087749647193,151.57755637168884,3827.0,0.433447265625,32.4875,8
DLCache,2.0,128,1435.1626138836102,8.91884994506836,1012.0,0.893515625,13.08125,4
DLCache,2.0,256,1383.237830473976,18.507301807403564,2866.0,0.76880859375,24.70625,7
DLCache,2.0,512,286.2065848942661,178.89176106452942,3169.5,0.326591796875,31.975,8
DLCache,2.0,128,1275.3296943886514,10.036620378494263,1009.5,0.8836328125,12.98125,4
PyTorch,2.0,256,1487.313268734711,17.212244749069214,0.0,0.0,20.78125,0
PyTorch,2.0,256,1382.4423654584614,18.517951011657715,0.0,0.0,19.77,0
DLCache,2.0,128,1364.7889671284881,9.378739356994629,1011.5,0.8934375,12.954999999999998,4
PyTorch,2.0,512,276.76040125895844,184.99756383895874,0.0,0.0,22.482499999999998,0
PyTorch,2.0,512,264.37978028135865,193.6608009338379,0.0,0.0,22.2925,0
PyTorch,2.0,128,1491.296365642459,8.583136320114136,0.0,0.0,15.51875,0
PyTorch,2.0,512,321.7155581985187,159.14679503440857,0.0,0.0,22.858749999999997,0
DLCache,2.0,256,1407.0899079441028,18.193578004837036,3346.5,0.91556640625,25.6025,7
PyTorch,2.0,128,1413.4201948909028,9.056047201156616,0.0,0.0,15.138749999999998,0
DLCache,2.5,256,1449.699987787999,17.658826112747192,2825.5,0.88080078125,23.471249999999998,6
DLCache,2.5,512,393.20702132502333,130.21130657196045,3649.5,0.4184375,33.39625,8
PyTorch,2.5,512,345.1186490147823,148.3547763824463,0.0,0.0,22.46,0
DLCache,2.5,256,1478.0488004979993,17.32013177871704,2476.0,0.885,20.253750000000004,5
PyTorch,2.5,128,1507.6879457735383,8.48982048034668,0.0,0.0,15.535,0
DLCache,2.5,256,1385.9855100000825,18.470611572265625,2288.5,0.81693359375,19.889999999999997,5
PyTorch,2.5,128,1241.7501757487414,10.308031558990479,0.0,0.0,15.4425,0
DLCache,2.5,128,1370.9437936215613,9.336633682250977,779.0,0.866875,11.696250000000001,3
DLCache,2.5,128,1386.6618425749016,9.230801343917847,771.0,0.85859375,11.692499999999999,3
PyTorch,2.5,256,1521.559890562486,16.824838876724243,0.0,0.0,22.23875,0
PyTorch,2.5,512,442.04677072412295,115.82484793663025,0.0,0.0,22.83875,0
DLCache,2.5,512,479.0654913078443,106.87474036216736,4243.5,0.435166015625,34.125,8
DLCache,2.5,512,408.2114536604191,125.42519211769104,3958.0,0.40640625,33.595,8
PyTorch,2.5,512,378.8754223531596,135.1367678642273,0.0,0.0,22.41625,0
DLCache,2.5,128,1364.9459432798512,9.377660751342773,1000.5,0.8866796875,13.222500000000002,4
PyTorch,2.5,256,1394.7657546632586,18.354336500167847,0.0,0.0,21.7,0
PyTorch,2.5,128,1418.64639954381,9.022685289382935,0.0,0.0,15.45625,0
PyTorch,2.5,256,1402.627271840771,18.251463174819946,0.0,0.0,21.385,0
DLCache,3.0,256,1473.859678266096,17.36936044692993,2051.5,0.8785546875,17.861250000000002,4
DLCache,3.0,128,1452.3157115340755,8.813510656356812,787.5,0.878359375,11.53,3
PyTorch,3.0,512,806.6410483782624,63.473090171813965,0.0,0.0,23.33625,0
DLCache,3.0,256,1280.3784688057005,19.994088172912598,2399.5,0.709453125,20.857499999999998,5
DLCache,3.0,128,1341.266325443417,9.543220281600952,787.5,0.8782421875,11.70375,3
DLCache,3.0,512,681.7749423682284,75.09809589385986,4301.5,0.381103515625,34.54625,8
DLCache,3.0,256,1435.0804988389827,17.838720560073853,2023.0,0.87087890625,17.69375,4
DLCache,3.0,128,1412.8931843566538,9.059425115585327,785.5,0.877265625,11.63625,3
PyTorch,3.0,256,1498.6489083479084,17.0820529460907,0.0,0.0,23.15,0
PyTorch,3.0,128,1458.761617910531,8.774565935134888,0.0,0.0,15.9375,0
PyTorch,3.0,512,549.8601300087157,93.11458897590637,0.0,0.0,23.38625,0
PyTorch,3.0,256,1383.8531060737314,18.499073266983032,0.0,0.0,22.415,0
PyTorch,3.0,128,1452.2618506416131,8.81383752822876,0.0,0.0,15.69125,0
PyTorch,3.0,512,530.2512212871222,96.55800485610962,0.0,0.0,22.9,0
PyTorch,3.0,256,1392.6492023733076,18.38223147392273,0.0,0.0,22.603749999999998,0
PyTorch,3.0,128,1403.2798012373473,9.121488094329834,0.0,0.0,15.597500000000002,0
DLCache,3.0,512,621.2323915436422,82.41682291030884,3836.0,0.34671875,34.19875,8
DLCache,3.0,512,946.9163923428622,54.07024359703064,4645.0,0.31830078125,34.238749999999996,8
